timestamps,TP9,AF7,AF8,TP10,Right AUX
1866.431,-473.145,-179.199,6.348,77.148,-150.879
1866.435,37.109,-154.297,18.066,96.191,-87.891
1866.439,115.723,-107.422,22.949,54.688,-68.359
1866.443,-373.535,-201.66,13.184,16.602,-76.172
1866.447,-583.496,-290.039,0,-10.254,37.109
1866.45,-65.918,-439.453,-9.277,23.438,450.684
1866.454,280.273,-130.371,17.09,51.758,343.75
1866.458,-131.348,67.871,29.785,25.391,-108.887
1866.462,-426.27,-206.543,11.719,1.465,-50.781
1866.466,-108.887,-173.34,14.648,6.836,-4.883
1866.467,315.43,-31.738,17.578,36.133,-173.828
1866.471,111.816,-151.367,7.812,40.039,-266.602
1866.475,-336.914,-364.258,2.93,25.391,-110.352
1866.479,-187.5,-253.906,7.812,53.223,-14.16
1866.483,313.477,-66.895,10.742,62.012,-82.52
1866.487,265.625,-190.43,6.348,48.828,-75.195
1866.491,-221.191,-475.586,-5.859,22.461,256.348
1866.494,-268.066,-645.996,-4.883,40.039,480.469
1866.498,269.531,-99.121,18.066,78.613,88.867
1866.502,462.891,85.449,18.555,91.309,-161.621
1866.506,34.18,-169.922,6.836,53.711,-194.824
1866.51,-181.641,-102.051,1.953,15.625,-260.254
1866.514,243.164,6.348,3.906,42.969,-300.781
1866.518,554.688,-35.645,7.812,32.227,-173.828
1866.522,212.891,-145.02,1.465,0,-65.918
1866.525,-108.398,-130.371,1.465,2.441,-161.133
1866.529,150.391,-68.848,1.465,20.02,-245.605
1866.533,545.898,-169.922,-17.09,29.297,-15.137
1866.537,391.602,-292.969,-26.855,31.738,246.582
1866.541,-85.938,-121.094,-14.648,2.441,-62.5
1866.545,-83.496,-51.758,-6.836,-25.879,-245.117
1866.549,407.227,-205.566,-14.648,18.555,-28.32
1866.553,425.293,-220.703,-14.648,43.945,52.734
1866.557,-95.703,16.113,-9.766,9.277,-173.828
1866.572,-178.223,8.789,-18.066,6.348,-177.246
1866.576,264.16,-33.691,-23.438,0.977,-70.312
1866.58,418.457,-44.922,-27.832,12.695,-21.973
1866.584,-9.766,-73.73,-28.809,37.598,-42.48
1866.588,-292.48,-43.457,-30.273,53.711,-216.797
1866.592,61.523,-270.02,-40.039,69.336,61.523
1866.596,394.531,-259.277,-34.668,55.176,268.066
1866.6,98.145,83.008,-19.043,0.977,-155.762
1866.603,-292.969,33.203,-28.32,-46.875,-332.031
1866.607,-96.191,-111.328,-34.668,-38.086,-79.102
1866.611,312.988,-3.418,-26.855,4.883,5.371
1866.615,173.828,90.82,-21.484,-6.348,-140.625
1866.605,-291.016,-60.059,-24.902,-20.996,-166.504
1866.609,-268.555,-168.457,-29.297,-2.93,-106.445
1866.613,218.262,66.406,-23.438,16.113,-99.121
1866.617,286.621,155.762,-28.809,23.926,-133.789
1866.621,-203.613,-47.852,-36.621,8.301,-36.133
1866.625,-417.969,-194.336,-33.203,-9.277,0.977
1866.629,-24.902,-48.828,-15.625,29.297,-83.984
1866.633,203.125,115.723,-8.789,80.078,-218.262
1866.636,-243.652,-100.098,-25.391,71.777,-95.215
1866.64,-591.309,-311.035,-33.691,36.621,178.223
1866.644,-252.93,77.637,-18.555,14.648,-50.293
1866.648,78.125,230.957,-15.137,30.762,-161.621
1866.662,-193.359,-53.711,-18.066,-11.23,-123.047
1866.666,-620.605,-199.219,-17.578,-66.895,-229.492
1866.67,-518.066,-109.375,-24.414,-59.082,-131.836
1866.674,-167.969,37.598,-19.531,-12.695,-145.508
1866.678,-295.898,-177.246,-17.09,-20.02,20.996
1866.682,-701.172,-345.215,-16.602,-61.035,318.848
1866.686,-725.586,-13.184,-5.859,-56.641,27.344
1866.69,-343.75,113.281,-4.883,2.93,-216.797
1866.694,-303.223,-70.801,-7.324,11.719,-44.434
1866.697,-734.375,-67.871,-5.371,-8.789,10.254
1866.701,-891.602,132.812,-1.465,-9.766,-281.738
1866.705,-488.281,74.219,-12.207,0.977,-277.344
1866.707,-207.52,56.152,-11.23,23.926,-215.332
1866.711,-471.191,84.473,-2.441,32.227,-240.723
1866.715,-707.52,-14.16,-12.695,20.508,-315.918
